Id;y;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;Average
0;1;24.38544265;27.52982476;6.134744023;4.042685468;5.510237237;5.258416786;3.106504597;6.134744023;18.62014897;21.29739163;23.74295419;25.6817126;23.43527025;21.29739163;28.81325653;16.33271502
1;2;22.30371967;39.99887514;3.849880942;5.8677519;6.150508287;6.332488899;4.676103053;3.849880942;31.06961753;20.89650274;12.63365673;22.01252928;20.24232891;20.89650274;26.95975284;16.51600664
2;1;31.37488436;40.94209978;6.793716145;2.938710246;6.870721667;2.434440811;5.293323453;6.793716145;-3.104296067;21.47307559;13.82140137;26.7431621;22.63191191;21.47307559;26.71907254;15.54660104
3;2;16.71360653;33.59322292;4.715374625;5.698996047;5.934980858;6.558469978;3.568935405;4.715374625;33.98273033;18.26612886;20.69119075;32.7289446;25.99869826;18.26612886;27.66577371;16.33271502
4;2;7.844339456;15.05998269;3.446332127;6.44979895;5.276633861;7.75869358;5.131526558;3.446332127;51.16652794;40.58896571;35.47715316;19.60676826;19.503433;40.58896571;30.89103693;16.51600664
5;1;32.85005769;21.84701251;4.922433635;4.499980998;4.952397779;5.824183223;4.304420387;4.922433635;24.89031208;7.018133019;32.26095785;26.63047064;30.91474948;7.018133019;31.52659184;15.54660104
6;0;21.78358402;19.33323968;4.65847908;5.274586901;6.29698372;5.860440312;3.277573561;4.65847908;25.31396252;39.18609652;34.60678103;28.68851772;25.68033003;39.18609652;14.61298171;17.27323709
7;1;32.54588545;32.25470664;5.68358661;3.952025874;5.712300428;4.714825489;4.997114408;5.68358661;13.19878126;17.66035261;19.28643882;26.98907983;22.60903823;17.66035261;33.92566112;19.48243267
8;2;18.29161907;30.80203903;4.29604724;5.764295246;5.656493389;6.701752315;4.190887163;4.29604724;35.88268596;23.21254247;21.14616395;11.64965712;25.71636027;23.21254247;21.09293472;16.29215119
9;2;18.84378697;30.21859509;5.493006695;4.95447704;5.129927949;6.290022536;4.451967267;5.493006695;30.53358538;21.56049018;18.94972655;33.24466771;25.1259955;21.56049018;23.78206456;18.56120883
10;1;29.60695115;31.22457774;5.895695355;4.021257804;6.139006048;4.60292773;4.726196052;5.895695355;12.15614556;18.18695009;23.2520725;31.52161678;23.37204056;18.18695009;18.78800581;16.45824907
11;0;34.25598858;15.48745766;4.784357433;4.297486625;5.564117733;5.121839201;4.230342328;4.784357433;17.20243868;36.11387857;34.80231909;22.2960896;31.35036512;36.11387857;25.10024469;16.12747118
12;2;16.90164049;15.25261054;4.63741491;5.394720507;4.386364506;7.057179711;4.115087704;4.63741491;40.77298734;34.98801902;31.22505591;20.02949131;29.03385543;34.98801902;23.68358443;17.04212069
13;2;21.49283851;23.72008598;4.613631144;5.325140959;5.282714483;6.486942919;5.05034954;4.613631144;33.0496303;25.90296084;27.00021903;27.05738691;16.02832189;25.90296084;25.69917711;15.83840591
14;0;22.7030937;18.52327684;5.003639378;4.981062964;5.487556002;6.124406714;4.966084042;5.003639378;28.47755947;28.5230239;33.8139862;25.17561886;27.76274282;28.5230239;28.22832117;18.76701075
15;1;30.93215334;32.64907403;5.354755443;4.314409473;5.539719145;5.137194877;4.353279478;5.354755443;17.35997307;21.67351934;16.85376614;19.32736672;24.29436481;21.67351934;31.79920138;18.47356305
16;0;20.51575115;14.83411692;5.188935124;4.912829229;4.843548696;6.485413299;4.822722359;5.188935124;33.02978753;27.34807574;35.70080767;18.24266566;28.35341068;27.34807574;29.63837376;17.14839944
17;2;21.90042088;32.46222059;4.80918404;5.309506266;5.862963028;6.087144752;4.595959206;4.80918404;28.0225331;22.90741683;19.74366006;26.39637476;35.76906962;22.90741683;25.2718968;18.21980236
18;1;33.84508571;29.09611062;5.19225535;4.426598786;6.321518879;4.802432062;3.851945127;5.19225535;14.03255558;8.183617678;30.17660692;32.44483796;21.13430106;8.183617678;12.20726771;16.4411368
19;0;18.43898482;28.88575157;4.500606041;5.663294015;6.484574122;6.123299424;4.355560168;4.500606041;28.46399771;33.06330425;25.68061449;30.42123444;28.56798079;33.06330425;29.32568506;17.76356325
20;2;17.35667652;34.53940115;4.791001921;5.538941517;5.199250767;6.716311508;5.207193575;4.791001921;36.07804214;20.99485861;14.31811163;17.02660599;21.24932855;20.99485861;22.35527006;17.79033005
21;2;23.1013695;16.13170761;5.70046862;4.371060457;5.128149678;5.859073341;4.635786472;5.70046862;25.29794228;27.69251462;34.87059725;17.38431261;25.067294;27.69251462;20.06406264;14.6060671
22;2;20.95889156;12.8530188;3.600280408;5.526246225;1.741757866;7.674146126;4.382619425;3.600280408;49.86172063;36.71800112;25.44903876;28.21301535;26.57745292;36.71800112;21.08662312;19.16925315
23;0;29.63547166;22.39711486;6.090082838;3.539609268;6.05325771;4.192225533;3.941051087;6.090082838;8.543956793;38.71043671;27.78827617;22.16437308;22.67991139;38.71043671;26.23582727;15.81045696
24;1;29.76072193;29.10196195;5.714765984;4.035490538;5.269250627;5.184859813;3.007529839;5.714765984;17.85197315;20.16469837;20.38431832;27.15794875;24.53591113;20.16469837;23.87203622;16.57982149
25;2;28.50573146;21.25707441;4.994667165;4.598929698;4.750996419;6.006163604;3.788091647;4.994667165;27.04320311;22.41041371;27.68932806;25.2605273;23.54114072;22.41041371;22.30514907;18.99740626
26;2;23.50834573;25.08135458;4.841100269;5.146364637;5.687310201;6.104354835;5.2816068;4.841100269;28.23234982;21.32476654;28.62531727;21.63668338;24.72386005;21.32476654;27.41609835;17.78480759
27;2;16.42411804;28.42468327;5.43713909;5.133571861;4.907111133;6.638791299;4.594432411;5.43713909;35.04275178;18.56491724;21.32607936;23.89358611;23.21695881;18.56491724;24.41061587;16.12806207
28;0;28.98622758;19.64708554;5.179508966;4.318706557;4.884505862;5.624027314;4.327498042;5.179508966;22.59888509;36.06155193;26.11600569;23.60861943;22.84124933;36.06155193;29.60877644;16.63709982
29;1;33.43190763;25.28598535;5.245702736;4.266629173;5.424863885;5.312606298;4.565074727;5.245702736;19.19298755;8.94014714;29.51329821;26.09513868;22.81499708;8.94014714;17.16391515;16.91835862
